region_tags,evaluation_date,github_link,last_updated,github_repo,runnability_score,api_effectiveness_score,comments_code_clarity_score,formatting_score,language_score,overall_compliance_score,identified_generic_problem_categories
secretmanager_delete_secret_with_etag,2025-06-05 17:59,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/delete_secret_with_etag.py,2023-05-17,python-docs-samples,95,80,95,98,85,87,"API Best Practices, Error Handling, Non-Idiomatic Code"
secretmanager_destroy_secret_version,2025-06-05 17:22,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/destroy_secret_version.py,2023-05-17,python-docs-samples,90,50,70,85,60,66,"API Misuse, Incorrect Type Hint, Missing Error Handling, Non-Idiomatic Code, Redundant Comment, Style Inconsistency"
secretmanager_destroy_secret_version_with_etag,2025-06-05 17:27,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/destroy_secret_version_with_etag.py,2023-05-17,python-docs-samples,90,85,70,75,70,81,"Missing Context, Implicit Assumption, Missing Error Handling, API Best Practice, Non-Idiomatic Code, Code Clarity, Redundant Comment, Style Inconsistency, PEP 8 Violation, Performance, Anti-Pattern"
secretmanager_disable_secret_version,2025-06-05 17:06,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/disable_secret_version.py,2023-05-17,python-docs-samples,95,80,65,75,70,79,"API Usage, Performance Optimization, Error Handling, Readability, Redundant Comments, Style Inconsistency, PEP 8, Language Best Practices, Anti-pattern"
secretmanager_disable_secret_version_with_etag,2025-06-05 17:10,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/disable_secret_version_with_etag.py,2023-05-17,python-docs-samples,95,65,85,60,60,72,"Non-Idiomatic Code, API Misuse, Missing Error Handling, Anti-Pattern, Redundant Comment, Style Inconsistency, PEP 8 Violation"
secretmanager_disable_secret_delayed_destroy,2025-06-05 17:04,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/disable_secret_with_delayed_destroy.py,2025-05-15,python-docs-samples,95,60,65,90,95,78,"API Misuse, Misleading Naming, Inaccurate Documentation, Inaccurate Comment, Redundant Comment, Style Inconsistency"
secretmanager_edit_secret_annotations,2025-06-05 17:43,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/edit_secret_annotations.py,2024-10-23,python-docs-samples,10,60,90,95,60,57,"Runtime Error, Configuration Error, API Misuse, Type Hint Error, Non-Idiomatic Code"
secretmanager_enable_secret_version,2025-06-05 18:00,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/enable_secret_version.py,2023-05-17,python-docs-samples,95,70,60,90,75,77,"Missing Setup Instructions, API Misuse, Type Hinting Error, Missing Error Handling, Resource Management, Incorrect Comment, Redundant Comment, Style Inconsistency, Non-Idiomatic Code"
secretmanager_enable_secret_version_with_etag,2025-06-05 17:55,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/enable_secret_version_with_etag.py,2023-05-17,python-docs-samples,90,85,70,80,75,82,"Missing Information, API Misuse, Type Hinting Error, Redundant Code, Incorrect Comment, Redundant Comment, Style Inconsistency, PEP8 Violation, Non-Idiomatic Code"
secretmanager_get_secret,2025-06-05 17:32,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/get_secret.py,2023-05-17,python-docs-samples,100,40,70,60,50,59,"API Misuse, Type Hinting Error, Error Handling, Redundant Comments, Missing Comment, Readability, Style Inconsistency, PEP 8 Violation, Import Management, Anti-Pattern, Non-Idiomatic Code"
secretmanager_get_secret_version,2025-06-06 09:50,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/get_secret_version.py,2023-05-17,python-docs-samples,95,60,85,90,65,74,"Efficiency, API Misuse, Type Hinting Error, Documentation Marker Issue, Redundant Comment, Style Inconsistency, PEP 8 Violation, Non-Idiomatic Code, Redundant Import"
secretmanager_iam_grant_access,2025-06-05 17:45,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/iam_grant_access.py,2023-05-17,python-docs-samples,90,75,95,80,70,80,"API Misuse, Type Hinting Issue, Dependency Management, Style Inconsistency, Non-Idiomatic Code"
secretmanager_iam_revoke_access,2025-06-05 17:51,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/iam_revoke_access.py,2023-05-17,python-docs-samples,95,60,70,70,65,70,"API Misuse, Type Hinting, Performance, Non-Idiomatic Code, Redundant Comment, Style Inconsistency, PEP 8 Violation, Dependency Management, Best Practice Violation"
secretmanager_list_secret_versions,2025-06-05 17:01,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/list_secret_versions.py,2023-05-17,python-docs-samples,90,100,95,100,80,94,"Configuration Assumption, Non-Idiomatic Code"
secretmanager_list_secret_versions_with_filter,2025-06-05 17:57,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/list_secret_versions_with_filter.py,2023-05-17,python-docs-samples,40,85,80,95,80,76,"Configuration Error, Missing Entry Point, Incomplete Example, Missing Error Handling, Redundant Comments"
secretmanager_list_secrets,2025-06-05 17:52,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/list_secrets.py,2023-05-17,python-docs-samples,95,70,75,80,65,76,"Missing Documentation, Missing Error Handling, API Best Practices, Redundant Comments, Readability, Style Inconsistency, PEP 8 Violation, Non-Idiomatic Code"
secretmanager_list_secrets_with_filter,2025-06-05 17:33,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/list_secrets_with_filter.py,2023-05-17,python-docs-samples,60,80,85,90,80,78,"Runnability, Configuration, Missing Boilerplate, API Best Practices, Error Handling, Resource Management, Redundant Comment, Code Clarity, Style, PEP 8 Violation, Idiomatic Code"
secretmanager_quickstart,2025-06-05 17:58,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/quickstart.py,2023-05-17,python-docs-samples,20,60,50,70,40,48,"Configuration Error, Runnability, Hardcoded Values, Parameter Misuse, API Misuse, Data Flow Error, Missing Error Handling, Redundant Comment, Documentation Tagging Error, PEP 8 Violation, Style Inconsistency, Anti-Pattern, Non-Idiomatic Code"
secretmanager_access_regional_secret_version,2025-06-05 18:10,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/access_regional_secret_version.py,2024-09-07,python-docs-samples,95,70,90,100,80,82,"Missing Information, API Misuse, Error Handling, Best Practice Violation, Readability"
secretmanager_v1_add_regional_secret_version,2025-06-05 18:28,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/add_regional_secret_version.py,2024-09-07,python-docs-samples,100,80,95,85,95,89,"Missing Error Handling, API Misuse, Style Inconsistency"
secretmanager_v1_create_regional_secret,2025-06-06 12:51,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/create_regional_secret.py,2024-09-07,python-docs-samples,100,,80,100,90,80,"API Misuse, Type Mismatch, Runtime Error, Redundant Comment"
secretmanager_create_regional_secret_with_annotations,2025-06-06 12:48,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/create_regional_secret_with_annotations.py,2024-10-23,python-docs-samples,20,50,60,80,40,46,"Configuration Error, Runtime Error, Language Misuse, API Misuse, Redundant Comment, Clarity, Style Inconsistency, Formatting, Non-Idiomatic Code, Missing Error Handling"
secretmanager_create_regional_secret_with_delayed_destroy,2025-06-05 18:02,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/create_regional_secret_with_delayed_destroy.py,2025-05-15,python-docs-samples,95,30,70,80,95,65,"API Misuse, Configuration Error, Non-Functional Code, Readability, Redundant Comment, Style Inconsistency, Metadata Error"
secretmanager_create_regional_secret_with_labels,2025-06-05 18:13,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/create_regional_secret_with_labels.py,2025-05-15,python-docs-samples,100,40,90,100,50,65,"API Misuse, Runtime Error, Incomplete Feature Exposure, Missing Error Handling, Redundant Comment, Language Misuse, Type Mismatch"
secretmanager_delete_regional_secret_label,2025-06-06 12:43,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/delete_regional_secret_label.py,2024-10-15,python-docs-samples,20,40,95,85,60,50,"Configuration Error, API Misuse, Runnability Issue, Type Hinting Error, Readability, Style Inconsistency, Formatting Issue, Non-Idiomatic Code"
secretmanager_v1_delete_regional_secret,2025-06-06 12:49,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/delete_regional_secret.py,2024-09-07,python-docs-samples,100,70,90,100,70,81,"Missing Error Handling, Resource Management, Non-Idiomatic Code, Redundant Comment"
secretmanager_v1_delete_regional_secret_with_etag,2025-06-05 18:22,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/delete_regional_secret_with_etag.py,2024-09-07,python-docs-samples,100,85,80,90,85,88,"Missing Error Handling, API Usage Best Practices, Redundant Comments, Missing Explanatory Comments, Style/Formatting Inconsistency"
secretmanager_v1_destroy_regional_secret_version_with_etag,2025-06-05 18:15,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/destroy_regional_secret_version_with_etag.py,2024-09-07,python-docs-samples,100,95,80,100,100,96,"Redundant Comment, Code Clarity"
secretmanager_disable_regional_secret_delayed_destroy,2025-06-05 18:08,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/disable_regional_secret_delayed_destroy.py,2025-05-15,python-docs-samples,95,90,80,85,90,90,"Missing Error Handling, Redundant Comments, Style Inconsistency, PEP 8 Violation"
secretmanager_v1_disable_regional_secret_version,2025-06-05 18:25,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/disable_regional_secret_version.py,2024-09-07,python-docs-samples,100,70,95,90,90,85,"API Misuse, Type Hinting Error, Typo, Readability, Style Inconsistency, PEP 8 Violation"
secretmanager_v1_disable_regional_secret_version_with_etag,2025-06-05 18:05,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/disable_regional_secret_version_with_etag.py,2024-09-07,python-docs-samples,100,100,80,100,100,98,Redundant Comment
secretmanager_edit_regional_secret_label,2025-06-05 18:19,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/edit_regional_secret_label.py,2024-10-15,python-docs-samples,20,85,60,95,30,60,"Runtime Error, Configuration Error, API Misuse, Type Error, Type Hinting, API Usage, Readability, Missing Comment, Redundant Comment, Language Misuse, Resource Management"
secretmanager_enable_regional_secret_version,2025-06-05 18:27,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/enable_regional_secret_version.py,2024-09-07,python-docs-samples,100,80,90,100,90,89,"API Misuse, Type Hinting Error, Misleading Comment"
secretmanager_v1_enable_regional_secret_version_with_etag,2025-06-05 18:20,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/enable_regional_secret_version_with_etag.py,2024-09-07,python-docs-samples,95,98,60,95,70,88,"Missing Dependency Info, Misleading Comment, Redundant Comment, Type Hint Error"
secretmanager_v1_get_regional_secret,2025-06-05 18:16,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/get_regional_secret.py,2024-10-15,python-docs-samples,95,60,90,95,75,77,"API Misuse, Type Hinting Error, Non-Idiomatic Code"
secretmanager_v1_get_regional_secret_version,2025-06-06 12:42,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/get_regional_secret_version.py,2024-09-07,python-docs-samples,95,85,80,100,70,85,"Missing Comment, Missing Error Handling, Redundant Comment, Incorrect Type Hint"
secretmanager_v1_list_regional_secrets,2025-06-05 18:04,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/list_regional_secrets.py,2024-09-07,python-docs-samples,95,75,80,95,70,81,"Configuration Clarity, API Misuse, Missing Error Handling, Robustness, Redundant Comments, Code Clarity, PEP8 Compliance"
secretmanager_v1_list_regional_secrets_with_filter,2025-06-05 18:01,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/list_regional_secrets_with_filter.py,2024-09-07,python-docs-samples,60,95,85,90,80,84,"Configuration Error, Missing Entry Point, Incomplete Example, Missing Error Handling, Redundant Comments, Style Inconsistency, Non-Idiomatic Code"
secretmanager_regional_quickstart,2025-06-05 18:17,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/regional_quickstart.py,2024-09-07,python-docs-samples,40,90,75,95,85,78,"Configuration Error, Non-Runnable Sample, Redundant Comment, Code Clutter, Missing Error Handling"
secretmanager_v1_update_regional_secret,2025-06-05 18:12,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/update_regional_secret.py,2024-09-07,python-docs-samples,90,85,70,85,95,87,"API Misuse, Type Hinting Error, Redundant Comments, Style Inconsistency, PEP 8 Violation"
secretmanager_update_regional_secret_with_delayed_destroy,2025-06-06 09:44,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/update_regional_secret_with_delayed_destroy.py,2025-05-15,python-docs-samples,95,90,75,85,85,88,"Missing Error Handling, Redundant Comments, Missing Explanatory Comments, Style Inconsistency, PEP 8 Violation"
secretmanager_v1_update_regional_secret_with_etag,2025-06-05 18:23,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/update_regional_secret_with_etag.py,2024-09-07,python-docs-samples,60,90,95,100,85,85,"Configuration Error, Runnability Issue, Language Idiom, API Misuse, Type Hinting Error"
secretmanager_view_regional_secret_annotations,2025-06-05 18:07,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/view_regional_secret_annotations.py,2024-10-23,python-docs-samples,95,85,90,95,90,90,"API Misuse, Configuration Error, Missing Error Handling"
secretmanager_view_regional_secret_labels,2025-06-06 12:45,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/regional_samples/view_regional_secret_labels.py,2024-10-15,python-docs-samples,100,80,95,100,100,92,"Missing Error Handling, Typo"
secretmanager_update_secret,2025-06-05 17:09,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/update_secret.py,2023-05-17,python-docs-samples,95,95,80,75,60,85,"Missing Information, Configuration Clarity, API Usage, Type Mismatch, Redundant Comment, Missing Comment, Clarity, Style Inconsistency, PEP 8 Violation, Non-Idiomatic Code, Redundant Code"
secretmanager_update_secret_with_alias,2025-06-05 17:11,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/update_secret_with_alias.py,2023-05-17,python-docs-samples,95,70,60,95,70,77,"API Misuse, Code Duplication, Type Hinting Error, Redundant Comments, Non-Idiomatic Code"
secretmanager_update_secret_with_delayed_destroy,2025-06-05 17:36,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/update_secret_with_delayed_destroy.py,2025-04-24,python-docs-samples,70,95,100,80,85,87,"Configuration Error, API Misuse, Style Inconsistency, Documentation Error, Non-Idiomatic Code"
secretmanager_update_secret_with_etag,2025-06-05 17:46,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/update_secret_with_etag.py,2023-05-17,python-docs-samples,40,85,80,85,60,71,"Configuration Error, Redundant Code, Type Hinting Issue, API Misuse, Redundant Comment, Style Inconsistency, Non-Idiomatic Code"
secretmanager_view_secret_annotations,2025-06-05 17:03,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/view_secret_annotations.py,2024-10-23,python-docs-samples,90,75,85,90,75,81,"Missing Prerequisite Information, Missing Error Handling, Resource Management, API Best Practices, Redundant Comment, Style Inconsistency, PEP8 Violation, Non-Idiomatic Code"
secretmanager_view_secret_labels,2025-06-05 17:40,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/view_secret_labels.py,2024-10-15,python-docs-samples,90,80,95,100,85,87,"Missing Context, Missing Error Handling, API Best Practices, Language Idioms"
